#{"t_start": 1703935751.442305, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
300.0,2183,750.649803
290.0,1983,754.113532
200.0,2093,757.762281
255.0,1761,760.80505
330.0,2309,764.813825
340.0,2737,769.571429
345.0,2729,774.519744
440.0,2999,779.725043
255.0,2295,783.70641
80.0,1113,785.662637
335.0,2589,790.413996
225.0,2241,794.53637
510.0,3395,800.741495
230.0,2403,805.109461
210.0,1871,808.417459
360.0,2379,812.6597
205.0,2375,816.920104
365.0,2935,822.150427
280.0,2439,826.547009
215.0,1879,829.914994
275.0,2807,835.046655
300.0,2675,839.838946
355.0,2897,844.960158
310.0,2363,849.127417
175.0,2895,854.22335
10.0,1819,857.436665
365.0,3129,862.937134
95.0,1119,864.870651
285.0,2667,869.583546
160.0,1761,872.678282
315.0,3599,879.025194
265.0,2369,883.195211
260.0,2605,887.80953
540.0,2827,893.054497
140.0,1839,902.068113
110.0,1139,904.066916
255.0,3419,910.162477
185.0,1525,912.825622
210.0,1529,915.503194
235.0,2757,920.421649
335.0,3077,925.893173
620.0,2937,931.114213
425.0,3691,937.723473
285.0,2873,942.839807
140.0,2001,946.435266
150.0,1863,949.782655
540.0,2742,954.873666
160.0,2413,959.15072
270.0,3607,965.627697
230.0,2063,969.380521
235.0,2115,973.204916
270.0,2347,977.395068
330.0,2869,982.490361
160.0,1851,985.799683
260.0,2027,989.413436
180.0,2379,993.66097
260.0,1945,997.120093
225.0,2165,1000.947845
355.0,2671,1005.730374
395.0,2433,1010.114798
560.0,2691,1015.103154
240.0,2111,1018.880165
30.0,993,1020.641672
245.0,2049,1024.312185
260.0,2893,1029.51117
230.0,1855,1032.835891
200.0,1679,1035.803422
390.0,2838,1040.867543
30.0,987,1042.577055
300.0,3221,1048.328926
160.0,1809,1051.531661
255.0,2393,1055.782784
335.0,3089,1061.247532
145.0,1947,1064.663664
235.0,2225,1068.530005
260.0,2719,1073.48875
300.0,3209,1079.173588
85.0,1507,1081.830547
230.0,2103,1091.012025
205.0,1649,1093.892014
195.0,1891,1097.152231
200.0,2185,1100.958729
305.0,2705,1105.698464
360.0,2361,1109.848087
390.0,2871,1114.875677
365.0,2263,1118.861286
315.0,2345,1122.96067
470.0,2425,1127.213068
330.0,2521,1131.782383
390.0,2476,1136.253
215.0,2207,1140.101484
335.0,2907,1145.236491
390.0,2789,1150.157157
345.0,2727,1154.932509
390.0,2619,1159.493793
425.0,3727,1165.970536
320.0,2845,1170.867518
345.0,2463,1175.110101
205.0,1873,1178.310273
315.0,3079,1183.628967
220.0,3034,1188.851907
210.0,1545,1191.593132
180.0,1503,1194.215954
265.0,3243,1199.779767
300.0,2571,1204.17835
305.0,2561,1208.580072
335.0,2777,1213.354068
500.0,3377,1219.172731
400.0,3343,1224.93337
360.0,2877,1229.852479
270.0,2761,1234.579992
590.0,2989,1239.681222
390.0,2497,1243.997072
395.0,2775,1248.73017
300.0,2789,1253.703041
460.0,2801,1258.472715
330.0,2875,1263.444191
210.0,2217,1272.682935
230.0,1963,1276.117055
200.0,2225,1280.028232
205.0,2777,1284.942366
290.0,2199,1288.832807
290.0,2281,1292.832505
490.0,2595,1297.405697
180.0,2441,1301.664645
205.0,1801,1304.811876
335.0,2637,1309.420371
390.0,2779,1314.48604
